document,output
GPK-RE 74 9026759.pdf,{'error': '500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/model/process-pdf-gemini/'}
GPK-RE 087 8916056.pdf,{'error': '500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/model/process-pdf-gemini/'}
GPK-RE 077 8991802.pdf,{'error': '500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/model/process-pdf-gemini/'}
GPK-RE 086 8986305.pdf,{'error': '500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/model/process-pdf-gemini/'}
GPK-RE 091 9196780.pdf,{'error': '500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/model/process-pdf-gemini/'}
GPK-RE 090 9195917.pdf,"{'shippingBillNumber': '9195917', 'shippingBillDate': '25-MAR-22', 'invoiceNumber': 'GPK/RE/0090/2022', 'invoiceDate': '15/03/2022', 'portCode': 'INNSA1', 'location': 'JNCH, NHAVA SHEVA, TAL:URAN, DIST-RAIGAD-400707', 'items': [{'itemNumber': '86090000', 'quantity': '192 NOS', 'billOfEntry': []}, {'itemNumber': '86090000', 'quantity': '1 NOS', 'billOfEntry': [{'billOfEntryNumber': '7690374', 'billOfEntryDate': '01.03.2022'}, {'billOfEntryNumber': '7688192', 'billOfEntryDate': '01.03.2022'}, {'billOfEntryNumber': '35675', 'billOfEntryDate': '25.01.2022'}]}, {'itemNumber': '86090000', 'quantity': '1 NOS', 'billOfEntry': []}]}"
GPK-RE 075 8890238.pdf,"{'shippingBillNumber': '8890238', 'shippingBillDate': '12-MAR-22', 'invoiceNumber': 'GPK/RE/0075/2022', 'invoiceDate': '07/03/2022', 'portCode': 'INNSA1', 'location': 'JNCH, NHAVA SHEVA, TAL:URAN, DIST-RAIGAD-400707', 'items': [{'itemNumber': '86090000', 'quantity': '192 NOS', 'billOfEntry': []}, {'itemNumber': '86090000', 'quantity': '1 NOS', 'billOfEntry': [{'billOfEntryNumber': '6479556', 'billOfEntryDate': '01.12.2021'}, {'billOfEntryNumber': '6484230', 'billOfEntryDate': '01.12.2021'}, {'billOfEntryNumber': '336265', 'billOfEntryDate': '03.02.2022'}]}, {'itemNumber': '86090000', 'quantity': '1 NOS', 'billOfEntry': [{'billOfEntryNumber': '6657891', 'billOfEntryDate': '13.12.2021'}, {'billOfEntryNumber': '6871908', 'billOfEntryDate': '29.12.2021'}, {'billOfEntryNumber': '4827', 'billOfEntryDate': '20.01.2022'}]}, {'itemNumber': '86090000', 'quantity': '1 NOS', 'billOfEntry': [{'billOfEntryNumber': '7154576', 'billOfEntryDate': '20.01.2022'}, {'billOfEntryNumber': '5718944', 'billOfEntryDate': '06.10.2021'}, {'billOfEntryNumber': '734618', 'billOfEntryDate': '06.10.2021'}]}, {'itemNumber': '86090000', 'quantity': '1 NOS', 'billOfEntry': [{'billOfEntryNumber': '5614113', 'billOfEntryDate': '28.09.2021'}, {'billOfEntryNumber': '5911090', 'billOfEntryDate': '20.10.2021'}, {'billOfEntryNumber': '5699980', 'billOfEntryDate': '04.10.2021'}]}, {'itemNumber': '86090000', 'quantity': '1 NOS', 'billOfEntry': [{'billOfEntryNumber': '5700015', 'billOfEntryDate': '04.10.2021'}, {'billOfEntryNumber': '6019792', 'billOfEntryDate': '27.10.2021'}, {'billOfEntryNumber': '60460', 'billOfEntryDate': '23.10.2021'}]}, {'itemNumber': '86090000', 'quantity': '1 NOS', 'billOfEntry': [{'billOfEntryNumber': '5960842', 'billOfEntryDate': '23.10.2021'}, {'billOfEntryNumber': '6601246', 'billOfEntryDate': '09.12.2021'}]}, {'itemNumber': '86090000', 'quantity': '1 NOS', 'billOfEntry': []}]}"
GPK-RE 085 8950542.pdf,"{'shippingBillNumber': '8950542', 'shippingBillDate': '15-MAR-22', 'invoiceNumber': 'GPK/RE/0085/2022', 'invoiceDate': '11/03/2022', 'portCode': 'INNSA1', 'location': 'JNCH, NHAVA SHEVA, TAL:URAN, DIST-RAIGAD-400707', 'items': [{'itemNumber': '86090000', 'quantity': '192 NOS', 'billOfEntry': []}, {'itemNumber': '86090000', 'quantity': '1 NOS', 'billOfEntry': [{'billOfEntryNumber': '7727181', 'billOfEntryDate': '04.03.2022'}, {'billOfEntryNumber': '7726046', 'billOfEntryDate': '04.03.2022'}, {'billOfEntryNumber': '77 25784', 'billOfEntryDate': '04.03.2022'}]}, {'itemNumber': '86090000', 'quantity': '1 NOS', 'billOfEntry': []}]}"
GPK-RE 076 912798.pdf,{'error': '500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/model/process-pdf-gemini/'}
GPK-RE 085 1468658.pdf,{'error': '500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/model/process-pdf-gemini/'}
GPK-RE 72 9026786.pdf,{'error': '500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/model/process-pdf-gemini/'}
